date,freight_rate_usd_per_ton
2023-09-18,16.26
2023-09-19,17.26
2023-09-20,17.11
2023-09-21,16.82
2023-09-22,16.08
2023-09-23,16.13
2023-09-24,24.18
2023-09-25,14.97
2023-09-26,16.33
2023-09-27,15.19
2023-09-28,16.87
2023-09-29,16.6
2023-09-30,17.69
2023-10-01,17.2
2023-10-02,16.32
2023-10-03,16.95
2023-10-04,17.26
2023-10-05,15.45
2023-10-06,15.67
2023-10-07,15.95
2023-10-08,15.5
2023-10-09,17.3
2023-10-10,15.34
2023-10-11,17.6
2023-10-12,15.67
2023-10-13,16.68
2023-10-14,16.33
2023-10-15,14.97
2023-10-16,16.13
2023-10-17,16.56
2023-10-18,16.1
2023-10-19,14.58
2023-10-20,18.25
2023-10-21,16.33
2023-10-22,15.29
2023-10-23,18.2
2023-10-24,17.01
2023-10-25,14.85
2023-10-26,15.06
2023-10-27,16.06
2023-10-28,16.71
2023-10-29,17.12
2023-10-30,15.46
2023-10-31,17.06
2023-11-01,18.06
2023-11-02,16.62
2023-11-03,15.58
2023-11-04,16.51
2023-11-05,16.46
2023-11-06,13.47
2023-11-07,15.92
2023-11-08,17.0
2023-11-09,16.14
2023-11-10,15.9
2023-11-11,17.8
2023-11-12,15.63
2023-11-13,17.62
2023-11-14,15.2
2023-11-15,20.14
2023-11-16,16.6
2023-11-17,16.5
2023-11-18,18.3
2023-11-19,16.46
2023-11-20,18.74
2023-11-21,17.47
2023-11-22,16.92
2023-11-23,16.83
2023-11-24,18.58
2023-11-25,17.45
2023-11-26,17.72
2023-11-27,17.89
2023-11-28,17.44
2023-11-29,17.94
2023-11-30,17.22
2023-12-01,17.34
2023-12-02,16.09
2023-12-03,17.83
2023-12-04,15.45
2023-12-05,17.9
2023-12-06,17.26
2023-12-07,18.09
2023-12-08,16.42
2023-12-09,17.28
2023-12-10,17.34
2023-12-11,17.48
2023-12-12,15.71
2023-12-13,18.81
2023-12-14,19.85
2023-12-15,17.02
2023-12-16,17.93
2023-12-17,17.69
2023-12-18,17.31
2023-12-19,18.95
2023-12-20,19.41
2023-12-21,17.2
2023-12-22,21.91
2023-12-23,19.87
2023-12-24,19.2
2023-12-25,19.42
2023-12-26,20.1
2023-12-27,20.13
2023-12-28,19.78
2023-12-29,18.77
2023-12-30,18.18
2023-12-31,18.81
2024-01-01,18.09
2024-01-02,16.43
2024-01-03,18.48
2024-01-04,19.29
2024-01-05,18.21
2024-01-06,18.72
2024-01-07,18.81
2024-01-08,20.67
2024-01-09,18.66
2024-01-10,20.76
2024-01-11,15.92
2024-01-12,20.84
2024-01-13,20.82
2024-01-14,20.39
2024-01-15,16.94
2024-01-16,20.62
2024-01-17,19.38
2024-01-18,16.45
2024-01-19,21.09
2024-01-20,21.3
2024-01-21,17.33
2024-01-22,19.87
2024-01-23,21.36
2024-01-24,21.22
2024-01-25,20.78
2024-01-26,16.65
2024-01-27,20.74
2024-01-28,19.64
2024-01-29,21.14
2024-01-30,20.29
2024-01-31,20.0
2024-02-01,20.83
2024-02-02,19.9
2024-02-03,20.11
2024-02-04,19.51
2024-02-05,18.29
2024-02-06,20.94
2024-02-07,19.32
2024-02-08,20.09
2024-02-09,20.71
2024-02-10,17.9
2024-02-11,18.2
2024-02-12,20.11
2024-02-13,21.05
2024-02-14,21.43
2024-02-15,18.66
2024-02-16,21.37
2024-02-17,20.34
2024-02-18,19.6
2024-02-19,19.92
2024-02-20,21.69
2024-02-21,21.08
2024-02-22,20.85
2024-02-23,21.11
2024-02-24,21.96
2024-02-25,20.75
2024-02-26,20.96
2024-02-27,22.29
2024-02-28,20.55
2024-02-29,21.71
2024-03-01,20.39
2024-03-02,20.52
2024-03-03,20.92
2024-03-04,21.68
2024-03-05,22.52
2024-03-06,21.22
2024-03-07,19.33
2024-03-08,21.91
2024-03-09,24.11
2024-03-10,21.32
2024-03-11,19.15
2024-03-12,21.43
2024-03-13,21.23
2024-03-14,21.15
2024-03-15,22.4
2024-03-16,22.94
2024-03-17,22.12
2024-03-18,21.15
2024-03-19,22.67
2024-03-20,19.54
2024-03-21,20.48
2024-03-22,20.63
2024-03-23,21.33
2024-03-24,21.98
2024-03-25,21.14
2024-03-26,20.3
2024-03-27,22.56
2024-03-28,21.11
2024-03-29,21.52
2024-03-30,22.07
2024-03-31,21.46
2024-04-01,21.46
2024-04-02,22.65
2024-04-03,21.6
2024-04-04,22.45
2024-04-05,22.07
2024-04-06,23.83
2024-04-07,21.9
2024-04-08,22.17
2024-04-09,22.73
2024-04-10,21.48
2024-04-11,20.63
2024-04-12,20.82
2024-04-13,6.91
2024-04-14,20.24
2024-04-15,21.75
2024-04-16,20.61
2024-04-17,21.59
2024-04-18,21.15
2024-04-19,21.28
2024-04-20,21.99
2024-04-21,20.66
2024-04-22,22.06
2024-04-23,23.16
2024-04-24,21.68
2024-04-25,20.32
2024-04-26,20.5
2024-04-27,20.92
2024-04-28,20.49
2024-04-29,20.0
2024-04-30,21.36
2024-05-01,20.89
2024-05-02,21.36
2024-05-03,22.54
2024-05-04,20.81
2024-05-05,19.65
2024-05-06,20.57
2024-05-07,21.95
2024-05-08,21.81
2024-05-09,21.6
2024-05-10,20.2
2024-05-11,21.83
2024-05-12,22.08
2024-05-13,20.04
2024-05-14,20.8
2024-05-15,23.25
2024-05-16,19.91
2024-05-17,18.72
2024-05-18,22.4
2024-05-19,22.07
2024-05-20,20.13
2024-05-21,20.51
2024-05-22,19.15
2024-05-23,20.69
2024-05-24,21.96
2024-05-25,19.87
2024-05-26,21.54
2024-05-27,21.01
2024-05-28,21.12
2024-05-29,19.81
2024-05-30,17.68
2024-05-31,18.11
2024-06-01,19.61
2024-06-02,21.65
2024-06-03,19.1
2024-06-04,19.24
2024-06-05,20.91
2024-06-06,20.59
2024-06-07,20.9
2024-06-08,18.64
2024-06-09,23.07
2024-06-10,18.5
2024-06-11,20.1
2024-06-12,19.69
2024-06-13,18.42
2024-06-14,19.36
2024-06-15,19.79
2024-06-16,18.94
2024-06-17,20.81
2024-06-18,19.45
2024-06-19,17.99
2024-06-20,17.85
2024-06-21,20.25
2024-06-22,17.7
2024-06-23,19.82
2024-06-24,19.94
2024-06-25,18.17
2024-06-26,20.39
2024-06-27,17.22
2024-06-28,19.59
2024-06-29,19.15
2024-06-30,19.01
2024-07-01,17.7
2024-07-02,17.95
2024-07-03,20.98
2024-07-04,20.45
2024-07-05,19.84
2024-07-06,20.04
2024-07-07,19.88
2024-07-08,18.44
2024-07-09,18.85
2024-07-10,16.98
2024-07-11,18.6
2024-07-12,20.09
2024-07-13,17.83
2024-07-14,19.81
2024-07-15,18.66
2024-07-16,16.84
2024-07-17,17.14
2024-07-18,19.53
2024-07-19,19.05
2024-07-20,18.47
2024-07-21,17.98
2024-07-22,18.52
2024-07-23,19.29
2024-07-24,19.97
2024-07-25,19.99
2024-07-26,18.57
2024-07-27,17.88
2024-07-28,18.22
2024-07-29,18.64
2024-07-30,18.6
2024-07-31,19.51
2024-08-01,20.44
2024-08-02,17.62
2024-08-03,20.42
2024-08-04,19.21
2024-08-05,17.64
2024-08-06,19.53
2024-08-07,19.72
2024-08-08,17.11
2024-08-09,19.71
2024-08-10,18.89
2024-08-11,20.41
2024-08-12,17.03
2024-08-13,17.09
2024-08-14,15.05
2024-08-15,18.14
2024-08-16,17.87
2024-08-17,16.72
2024-08-18,17.27
2024-08-19,15.77
2024-08-20,18.75
2024-08-21,16.7
2024-08-22,20.97
2024-08-23,17.03
2024-08-24,16.3
2024-08-25,16.69
2024-08-26,15.47
2024-08-27,17.72
2024-08-28,16.62
2024-08-29,18.46
2024-08-30,16.75
2024-08-31,18.72
2024-09-01,17.95
2024-09-02,17.05
2024-09-03,18.9
2024-09-04,18.13
2024-09-05,20.5
2024-09-06,16.46
2024-09-07,17.03
2024-09-08,18.8
2024-09-09,15.05
2024-09-10,18.47
2024-09-11,17.41
2024-09-12,15.8
2024-09-13,15.22
2024-09-14,16.04
2024-09-15,14.1
2024-09-16,16.24
2024-09-17,17.57
2024-09-18,16.24
2024-09-19,18.47
2024-09-20,18.79
2024-09-21,18.32
2024-09-22,17.07
2024-09-23,13.99
2024-09-24,15.94
2024-09-25,16.61
2024-09-26,15.7
2024-09-27,16.61
2024-09-28,18.71
2024-09-29,14.8
2024-09-30,18.95
2024-10-01,17.84
2024-10-02,17.1
2024-10-03,15.93
2024-10-04,15.74
2024-10-05,14.84
2024-10-06,18.86
2024-10-07,18.65
2024-10-08,15.12
2024-10-09,16.16
2024-10-10,17.35
2024-10-11,16.48
2024-10-12,14.54
2024-10-13,16.07
2024-10-14,19.21
2024-10-15,16.17
2024-10-16,16.7
2024-10-17,15.53
2024-10-18,17.63
2024-10-19,17.07
2024-10-20,16.06
2024-10-21,15.4
2024-10-22,18.67
2024-10-23,15.08
2024-10-24,17.63
2024-10-25,14.46
2024-10-26,17.91
2024-10-27,18.25
2024-10-28,18.42
2024-10-29,16.93
2024-10-30,19.05
2024-10-31,19.94
2024-11-01,16.81
2024-11-02,16.68
2024-11-03,17.42
2024-11-04,16.69
2024-11-05,16.55
2024-11-06,16.68
2024-11-07,19.41
2024-11-08,18.3
2024-11-09,16.83
2024-11-10,14.49
2024-11-11,15.61
2024-11-12,18.1
2024-11-13,14.98
2024-11-14,17.91
2024-11-15,16.31
2024-11-16,17.73
2024-11-17,17.73
2024-11-18,17.83
2024-11-19,17.25
2024-11-20,17.24
2024-11-21,16.93
2024-11-22,18.41
2024-11-23,18.83
2024-11-24,16.44
2024-11-25,17.87
2024-11-26,18.21
2024-11-27,18.23
2024-11-28,18.25
2024-11-29,17.61
2024-11-30,18.46
2024-12-01,18.91
2024-12-02,18.37
2024-12-03,18.85
2024-12-04,19.47
2024-12-05,16.1
2024-12-06,19.5
2024-12-07,18.82
2024-12-08,17.12
2024-12-09,19.45
2024-12-10,18.06
2024-12-11,21.47
2024-12-12,18.01
2024-12-13,19.02
2024-12-14,17.76
2024-12-15,19.83
2024-12-16,18.62
2024-12-17,18.4
2024-12-18,19.78
2024-12-19,18.54
2024-12-20,20.11
2024-12-21,20.19
2024-12-22,17.45
2024-12-23,20.43
2024-12-24,17.39
2024-12-25,20.6
2024-12-26,21.67
2024-12-27,20.33
2024-12-28,16.74
2024-12-29,20.65
2024-12-30,22.11
