date,freight_rate_usd_per_ton
2024-02-02,13.96
2024-02-03,13.96
2024-02-04,13.96
2024-02-05,14.76
2024-02-06,15.8
2024-02-07,14.75
2024-02-08,15.69
2024-02-09,15.44
2024-02-10,15.44
2024-02-11,15.44
2024-02-12,15.62
2024-02-13,15.33
2024-02-14,15.94
2024-02-15,15.99
2024-02-16,16.02
2024-02-17,16.02
2024-02-18,16.02
2024-02-19,16.02
2024-02-20,15.62
2024-02-21,16.19
2024-02-22,16.89
2024-02-23,17.92
2024-02-24,17.92
2024-02-25,17.92
2024-02-26,17.17
2024-02-27,18.06
2024-02-28,18.79
2024-02-29,19.06
2024-03-01,20.13
2024-03-02,20.13
2024-03-03,20.13
2024-03-04,20.29
2024-03-05,19.69
2024-03-06,19.46
2024-03-07,20.54
2024-03-08,21.05
2024-03-09,21.05
2024-03-10,21.05
2024-03-11,20.05
2024-03-12,20.6
2024-03-13,20.31
2024-03-14,20.07
2024-03-15,19.61
2024-03-16,19.61
2024-03-17,19.61
2024-03-18,20.24
2024-03-19,19.36
2024-03-20,18.35
2024-03-21,19.09
2024-03-22,18.41
2024-03-23,18.41
2024-03-24,18.41
2024-03-25,17.59
2024-03-26,16.73
2024-03-27,16.69
2024-03-28,17.32
2024-03-29,17.32
2024-03-30,17.32
2024-03-31,17.32
2024-04-01,17.36
2024-04-02,15.87
2024-04-03,16.65
2024-04-04,15.89
2024-04-05,16.06
2024-04-06,16.06
2024-04-07,16.06
2024-04-08,15.64
2024-04-09,15.97
2024-04-10,16.88
2024-04-11,16.92
2024-04-12,17.09
2024-04-13,17.09
2024-04-14,17.09
2024-04-15,16.95
2024-04-16,16.75
2024-04-17,17.26
2024-04-18,16.79
2024-04-19,17.01
2024-04-20,17.01
2024-04-21,17.01
2024-04-22,16.29
2024-04-23,16.75
2024-04-24,16.45
2024-04-25,16.28
2024-04-26,16.02
2024-04-27,16.02
2024-04-28,16.02
2024-04-29,15.75
2024-04-30,15.89
2024-05-01,15.86
2024-05-02,16.83
2024-05-03,16.81
2024-05-04,16.81
2024-05-05,16.81
2024-05-06,16.96
2024-05-07,18.25
2024-05-08,17.41
2024-05-09,17.07
2024-05-10,17.17
2024-05-11,17.17
2024-05-12,17.17
2024-05-13,16.59
2024-05-14,16.19
2024-05-15,15.77
2024-05-16,15.94
2024-05-17,15.91
2024-05-18,15.91
2024-05-19,15.91
2024-05-20,16.04
2024-05-21,15.48
2024-05-22,15.18
2024-05-23,15.13
2024-05-24,15.33
2024-05-25,15.33
2024-05-26,15.33
2024-05-27,15.33
2024-05-28,15.0
2024-05-29,15.1
2024-05-30,15.2
2024-05-31,14.92
2024-06-01,14.92
2024-06-02,14.92
2024-06-03,15.15
2024-06-04,15.31
2024-06-05,15.08
2024-06-06,15.08
2024-06-07,14.8
2024-06-08,14.8
2024-06-09,14.8
2024-06-10,14.33
2024-06-11,14.28
2024-06-12,14.92
2024-06-13,15.15
2024-06-14,14.71
2024-06-15,14.71
2024-06-16,14.71
2024-06-17,14.95
2024-06-18,14.84
2024-06-19,14.84
2024-06-20,14.9
2024-06-21,14.72
2024-06-22,14.72
2024-06-23,14.72
2024-06-24,14.3
2024-06-25,14.25
2024-06-26,14.75
2024-06-27,14.9
2024-06-28,15.3
2024-06-29,15.3
2024-06-30,15.3
2024-07-01,15.62
2024-07-02,14.82
2024-07-03,15.0
2024-07-04,15.0
2024-07-05,14.16
2024-07-06,14.16
2024-07-07,14.16
2024-07-08,14.4
2024-07-09,14.57
2024-07-10,14.97
2024-07-11,14.92
2024-07-12,15.1
2024-07-13,15.1
2024-07-14,15.1
2024-07-15,14.65
2024-07-16,14.5
2024-07-17,14.61
2024-07-18,14.75
2024-07-19,14.7
2024-07-20,14.7
2024-07-21,14.7
2024-07-22,14.71
2024-07-23,14.36
2024-07-24,14.55
2024-07-25,14.2
2024-07-26,13.83
2024-07-27,13.83
2024-07-28,13.83
2024-07-29,14.04
2024-07-30,13.54
2024-07-31,13.4
2024-08-01,13.61
2024-08-02,13.67
2024-08-03,13.67
2024-08-04,13.67
2024-08-05,13.46
2024-08-06,13.72
2024-08-07,13.46
2024-08-08,13.62
2024-08-09,13.39
2024-08-10,13.39
2024-08-11,13.39
2024-08-12,13.22
2024-08-13,13.54
2024-08-14,13.62
2024-08-15,13.46
2024-08-16,13.36
2024-08-17,13.36
2024-08-18,13.36
2024-08-19,13.06
2024-08-20,13.36
2024-08-21,13.5
2024-08-22,13.24
2024-08-23,13.01
2024-08-24,13.01
2024-08-25,13.01
2024-08-26,13.32
2024-08-27,13.36
2024-08-28,13.37
2024-08-29,13.93
2024-08-30,13.89
2024-08-31,13.89
2024-09-01,13.89
2024-09-02,13.89
2024-09-03,13.12
2024-09-04,13.27
2024-09-05,13.42
2024-09-06,13.42
2024-09-07,13.42
2024-09-08,13.42
2024-09-09,13.21
2024-09-10,13.2
2024-09-11,13.44
2024-09-12,13.27
2024-09-13,12.84
2024-09-14,12.84
2024-09-15,12.84
2024-09-16,12.96
2024-09-17,12.94
2024-09-18,13.35
2024-09-19,13.21
2024-09-20,13.0
2024-09-21,13.0
2024-09-22,13.0
2024-09-23,13.27
2024-09-24,13.42
2024-09-25,13.31
2024-09-26,13.4
2024-09-27,13.06
2024-09-28,13.06
2024-09-29,13.06
2024-09-30,13.42
2024-10-01,12.74
2024-10-02,12.6
2024-10-03,12.94
2024-10-04,12.83
2024-10-05,12.83
2024-10-06,12.83
2024-10-07,12.78
2024-10-08,12.24
2024-10-09,11.66
2024-10-10,11.92
2024-10-11,11.76
2024-10-12,11.76
2024-10-13,11.76
2024-10-14,11.3
2024-10-15,10.65
2024-10-16,10.13
2024-10-17,10.53
2024-10-18,10.28
2024-10-19,10.28
2024-10-20,10.28
2024-10-21,9.91
2024-10-22,9.91
2024-10-23,10.08
2024-10-24,9.91
2024-10-25,9.76
2024-10-26,9.76
2024-10-27,9.76
2024-10-28,9.41
2024-10-29,9.84
2024-10-30,9.35
2024-10-31,9.35
2024-11-01,9.34
2024-11-02,9.34
2024-11-03,9.34
2024-11-04,9.73
2024-11-05,9.81
2024-11-06,9.56
2024-11-07,9.86
2024-11-08,10.19
2024-11-09,10.19
2024-11-10,10.19
2024-11-11,10.58
2024-11-12,10.38
2024-11-13,10.61
2024-11-14,10.56
2024-11-15,10.62
2024-11-16,10.62
2024-11-17,10.62
2024-11-18,9.99
2024-11-19,9.75
2024-11-20,9.58
2024-11-21,9.38
2024-11-22,9.04
2024-11-23,9.04
2024-11-24,9.04
2024-11-25,9.31
2024-11-26,9.26
2024-11-27,8.5
2024-11-28,8.5
2024-11-29,8.31
2024-11-30,8.31
2024-12-01,8.31
2024-12-02,7.94
2024-12-03,7.94
2024-12-04,8.05
2024-12-05,8.27
2024-12-06,8.11
2024-12-07,8.11
2024-12-08,8.11
2024-12-09,7.75
2024-12-10,7.52
2024-12-11,7.14
2024-12-12,7.38
2024-12-13,7.62
2024-12-14,7.62
2024-12-15,7.62
2024-12-16,7.59
2024-12-17,7.31
2024-12-18,7.57
2024-12-19,7.51
2024-12-20,7.77
2024-12-21,7.77
2024-12-22,7.77
2024-12-23,7.81
2024-12-24,7.66
2024-12-25,7.66
2024-12-26,7.58
2024-12-27,7.62
2024-12-28,7.62
2024-12-29,7.62
2024-12-30,7.4
2024-12-31,7.6
2025-01-01,7.6
2025-01-02,7.81
2025-01-03,7.83
2025-01-04,7.83
2025-01-05,7.83
2025-01-06,7.28
2025-01-07,7.04
2025-01-08,6.94
2025-01-09,6.94
2025-01-10,8.37
2025-01-11,8.37
2025-01-12,8.37
2025-01-13,7.3
2025-01-14,7.66
2025-01-15,7.36
2025-01-16,7.16
2025-01-17,7.15
2025-01-18,7.15
2025-01-19,7.15
2025-01-20,7.15
2025-01-21,7.01
2025-01-22,6.6
2025-01-23,6.42
2025-01-24,6.42
2025-01-25,6.42
2025-01-26,6.42
2025-01-27,6.65
2025-01-28,6.6
2025-01-29,6.65
2025-01-30,6.86
2025-01-31,7.21
2025-02-01,7.21
2025-02-02,7.21
2025-02-03,6.84
2025-02-04,7.34
2025-02-05,7.49
2025-02-06,7.25
2025-02-07,7.33
2025-02-08,7.33
2025-02-09,7.33
2025-02-10,7.23
2025-02-11,7.1
2025-02-12,6.89
2025-02-13,6.88
2025-02-14,7.05
2025-02-15,7.05
2025-02-16,7.05
2025-02-17,7.05
2025-02-18,7.6
2025-02-19,7.49
2025-02-20,8.06
2025-02-21,7.9
2025-02-22,7.9
2025-02-23,7.9
2025-02-24,7.61
2025-02-25,7.83
2025-02-26,8.0
2025-02-27,7.71
2025-02-28,8.0
2025-03-01,8.0
2025-03-02,8.0
2025-03-03,7.69
2025-03-04,7.5
2025-03-05,7.86
2025-03-06,8.12
2025-03-07,8.21
2025-03-08,8.21
2025-03-09,8.21
2025-03-10,8.19
2025-03-11,8.35
2025-03-12,8.92
2025-03-13,8.56
2025-03-14,8.69
2025-03-15,8.69
2025-03-16,8.69
2025-03-17,8.58
2025-03-18,8.41
2025-03-19,8.12
2025-03-20,8.47
2025-03-21,8.64
2025-03-22,8.64
2025-03-23,8.64
2025-03-24,8.44
2025-03-25,8.14
2025-03-26,8.0
2025-03-27,7.94
2025-03-28,7.95
2025-03-29,7.95
2025-03-30,7.95
2025-03-31,7.81
2025-04-01,8.12
2025-04-02,7.96
2025-04-03,7.52
2025-04-04,7.02
2025-04-05,7.02
2025-04-06,7.02
2025-04-07,6.73
2025-04-08,6.7
2025-04-09,6.66
2025-04-10,7.0
2025-04-11,7.04
2025-04-12,7.04
2025-04-13,7.04
2025-04-14,7.19
2025-04-15,7.11
2025-04-16,7.15
2025-04-17,7.17
2025-04-18,7.17
2025-04-19,7.17
2025-04-20,7.17
2025-04-21,7.16
2025-04-22,7.0
2025-04-23,7.35
2025-04-24,7.29
2025-04-25,7.4
2025-04-26,7.4
2025-04-27,7.4
2025-04-28,7.23
2025-04-29,6.96
2025-04-30,7.21
2025-05-01,7.44
2025-05-02,7.3
2025-05-03,7.3
2025-05-04,7.3
2025-05-05,7.39
2025-05-06,7.02
2025-05-07,7.02
2025-05-08,6.78
2025-05-09,6.79
2025-05-10,6.79
2025-05-11,6.79
2025-05-12,6.92
2025-05-13,6.63
2025-05-14,6.83
2025-05-15,6.94
2025-05-16,6.88
2025-05-17,6.88
2025-05-18,6.88
2025-05-19,6.64
2025-05-20,6.7
2025-05-21,6.68
2025-05-22,6.51
2025-05-23,6.44
2025-05-24,6.44
2025-05-25,6.44
2025-05-26,6.44
2025-05-27,6.44
2025-05-28,6.46
2025-05-29,6.49
2025-05-30,6.49
2025-05-31,6.49
2025-06-01,6.49
2025-06-02,6.37
2025-06-03,6.5
2025-06-04,6.78
2025-06-05,6.86
2025-06-06,6.76
2025-06-07,6.76
2025-06-08,6.76
2025-06-09,6.72
2025-06-10,6.9
2025-06-11,7.06
2025-06-12,7.16
2025-06-13,7.34
2025-06-14,7.34
2025-06-15,7.34
2025-06-16,7.1
2025-06-17,7.04
2025-06-18,7.02
2025-06-19,7.02
2025-06-20,7.16
2025-06-21,7.16
2025-06-22,7.16
2025-06-23,7.23
2025-06-24,7.17
2025-06-25,7.25
2025-06-26,7.07
2025-06-27,6.98
2025-06-28,6.98
2025-06-29,6.98
2025-06-30,6.94
2025-07-01,7.04
2025-07-02,7.21
2025-07-03,7.41
2025-07-04,7.41
2025-07-05,7.41
2025-07-06,7.41
2025-07-07,7.59
2025-07-08,7.72
2025-07-09,7.81
2025-07-10,8.32
2025-07-11,8.86
2025-07-12,8.86
2025-07-13,8.86
2025-07-14,9.08
2025-07-15,8.48
2025-07-16,9.06
2025-07-17,9.51
2025-07-18,9.25
2025-07-19,9.25
2025-07-20,9.25
2025-07-21,9.19
2025-07-22,9.59
2025-07-23,9.4
2025-07-24,9.28
2025-07-25,8.94
2025-07-26,8.94
2025-07-27,8.94
2025-07-28,9.06
2025-07-29,8.68
2025-07-30,8.77
2025-07-31,9.25
2025-08-01,9.33
2025-08-02,9.33
2025-08-03,9.33
2025-08-04,9.14
2025-08-05,9.71
2025-08-06,9.66
2025-08-07,9.69
2025-08-08,9.75
2025-08-09,9.75
2025-08-10,9.75
2025-08-11,9.88
2025-08-12,10.03
2025-08-13,10.21
2025-08-14,10.16
2025-08-15,10.03
2025-08-16,10.03
2025-08-17,10.03
2025-08-18,10.1
2025-08-19,9.72
2025-08-20,10.05
2025-08-21,10.2
2025-08-22,10.51
2025-08-23,10.51
2025-08-24,10.51
2025-08-25,10.62
2025-08-26,10.75
2025-08-27,10.38
2025-08-28,10.44
2025-08-29,10.46
2025-08-30,10.46
2025-08-31,10.46
2025-09-01,10.46
2025-09-02,10.03
2025-09-03,10.18
2025-09-04,10.08
2025-09-05,10.05
2025-09-06,10.05
2025-09-07,10.05
2025-09-08,10.19
2025-09-09,10.49
2025-09-10,10.28
2025-09-11,10.14
2025-09-12,10.13
2025-09-13,10.13
2025-09-14,10.13
2025-09-15,10.26
2025-09-16,10.05
2025-09-17,10.18
2025-09-18,10.25
2025-09-19,10.2
2025-09-20,10.2
2025-09-21,10.2
2025-09-22,10.08
2025-09-23,10.31
2025-09-24,10.48
2025-09-25,10.25
2025-09-26,10.06
2025-09-27,10.06
2025-09-28,10.06
2025-09-29,9.71
2025-09-30,9.39
2025-10-01,9.47
2025-10-02,9.73
2025-10-03,9.65
2025-10-04,9.65
2025-10-05,9.65
2025-10-06,9.83
2025-10-07,10.0
2025-10-08,9.5
2025-10-09,9.62
2025-10-10,10.23
2025-10-11,10.23
2025-10-12,10.23
2025-10-13,10.8
2025-10-14,10.25
2025-10-15,10.65
2025-10-16,10.41
2025-10-17,10.2
2025-10-18,10.2
2025-10-19,10.2
2025-10-20,10.3
2025-10-21,10.48
2025-10-22,10.29
2025-10-23,9.78
2025-10-24,9.81
2025-10-25,9.81
2025-10-26,9.81
2025-10-27,9.96
2025-10-28,9.94
2025-10-29,10.25
2025-10-30,10.31
2025-10-31,10.13
2025-11-01,10.13
2025-11-02,10.13
2025-11-03,9.9
2025-11-04,10.23
2025-11-05,10.38
2025-11-06,10.62
2025-11-07,10.44
2025-11-08,10.44
2025-11-09,10.44
2025-11-10,10.46
2025-11-11,10.53
2025-11-12,10.6
2025-11-13,10.87
2025-11-14,10.75
2025-11-15,10.75
2025-11-16,10.75
2025-11-17,11.0
2025-11-18,11.24
2025-11-19,11.12
2025-11-20,11.15
2025-11-21,11.19
2025-11-22,11.19
2025-11-23,11.19
2025-11-24,11.49
2025-11-25,11.54
2025-11-26,11.5
2025-11-27,11.5
2025-11-28,10.96
2025-11-29,10.96
2025-11-30,10.96
2025-12-01,11.68
2025-12-02,11.56
2025-12-03,11.63
2025-12-04,11.59
2025-12-05,11.25
2025-12-06,11.25
2025-12-07,11.25
2025-12-08,11.56
2025-12-09,11.04
2025-12-10,11.27
2025-12-11,11.05
2025-12-12,10.85
2025-12-13,10.85
2025-12-14,10.85
2025-12-15,11.15
2025-12-16,10.96
2025-12-17,10.53
2025-12-18,10.82
2025-12-19,10.87
2025-12-20,10.87
2025-12-21,10.87
2025-12-22,11.1
2025-12-23,10.92
2025-12-24,10.96
2025-12-25,10.96
2025-12-26,10.94
2025-12-27,10.94
2025-12-28,10.94
2025-12-29,10.92
2025-12-30,10.85
2025-12-31,10.96
2026-01-01,10.96
2026-01-02,10.58
2026-01-03,10.58
2026-01-04,10.58
2026-01-05,10.9
2026-01-06,11.01
2026-01-07,10.99
2026-01-08,11.43
2026-01-09,11.06
2026-01-10,11.06
2026-01-11,11.06
2026-01-12,10.91
2026-01-13,10.9
2026-01-14,11.3
2026-01-15,11.85
2026-01-16,12.25
2026-01-17,12.25
2026-01-18,12.25
2026-01-19,12.25
2026-01-20,12.8
2026-01-21,12.59
2026-01-22,12.5
2026-01-23,12.95
2026-01-24,12.95
2026-01-25,12.95
2026-01-26,13.72
2026-01-27,14.08
2026-01-28,13.76
2026-01-29,14.35
2026-01-30,14.41
2026-01-31,14.41
2026-02-01,14.41
2026-02-02,14.0
2026-02-03,13.19
2026-02-04,13.56
2026-02-05,13.39
2026-02-06,13.31
2026-02-07,13.31
2026-02-08,13.31
2026-02-09,13.69
2026-02-10,13.98
2026-02-11,14.3
2026-02-12,14.13
2026-02-13,14.36
2026-02-14,14.36
2026-02-15,14.36
2026-02-16,14.36
2026-02-17,14.6
2026-02-18,14.7
2026-02-19,14.57
2026-02-20,14.66
2026-02-21,14.66
2026-02-22,14.66
2026-02-23,14.71
2026-02-24,14.84
2026-02-25,14.6
2026-02-26,14.89
2026-02-27,15.09
2026-02-28,15.09
2026-03-01,15.09
2026-03-02,15.28
2026-03-03,15.62
2026-03-04,14.89
2026-03-05,14.4
2026-03-06,13.08
2026-03-07,13.08
2026-03-08,13.08
2026-03-09,12.83
2026-03-10,12.79
2026-03-11,13.37
2026-03-12,13.0
2026-03-13,13.11
2026-03-14,13.11
2026-03-15,13.11
2026-03-16,13.34
2026-03-17,13.04
2026-03-18,13.37
2026-03-19,12.53
2026-03-20,12.51
2026-03-21,12.51
2026-03-22,12.51
2026-03-23,12.49
2026-03-24,12.25
2026-03-25,12.5
2026-03-26,12.5
2026-03-27,12.41
2026-03-28,12.41
2026-03-29,12.41
2026-03-30,12.42
2026-03-31,12.46
2026-04-01,12.91
2026-04-02,13.06
2026-04-03,13.06
2026-04-04,13.06
2026-04-05,13.06
2026-04-06,12.42
2026-04-07,13.05
2026-04-08,13.25
2026-04-09,12.88
2026-04-10,13.37
2026-04-11,13.37
2026-04-12,13.37
2026-04-13,13.83
2026-04-14,14.28
2026-04-15,14.25
2026-04-16,13.91
2026-04-17,14.3
2026-04-18,14.3
2026-04-19,14.3
2026-04-20,14.13
2026-04-21,14.19
2026-04-22,14.25
2026-04-23,14.18
2026-04-24,13.62
2026-04-25,13.62
2026-04-26,13.62
2026-04-27,14.09
2026-04-28,14.31
2026-04-29,14.81
2026-04-30,14.65
2026-05-01,14.66
2026-05-02,14.66
2026-05-03,14.66
2026-05-04,14.74
2026-05-05,15.23
2026-05-06,15.14
2026-05-07,15.13
2026-05-08,15.13
2026-05-09,15.13
2026-05-10,15.13
2026-05-11,15.81
2026-05-12,16.61
2026-05-13,16.66
2026-05-14,16.19
2026-05-15,16.48
2026-05-16,16.48
2026-05-17,16.48
2026-05-18,16.06
2026-05-19,15.81
2026-05-20,15.14
2026-05-21,15.62
2026-05-22,15.84
2026-05-23,15.84
2026-05-24,15.84
2026-05-25,15.84
2026-05-26,16.1
2026-05-27,16.09
2026-05-28,16.44
2026-05-29,16.17
2026-05-30,16.17
2026-05-31,16.17
2026-06-01,16.29
2026-06-02,16.17
2026-06-03,15.77
2026-06-04,15.82
2026-06-05,15.87
2026-06-06,15.87
2026-06-07,15.87
2026-06-08,15.46
2026-06-09,15.46
2026-06-10,15.62
2026-06-11,15.65
2026-06-12,15.4
2026-06-13,15.4
2026-06-14,15.4
2026-06-15,14.99
2026-06-16,15.16
2026-06-17,14.85
2026-06-18,14.46
2026-06-19,14.46
2026-06-20,14.46
2026-06-21,14.46
2026-06-22,14.47
2026-06-23,14.71
2026-06-24,14.62
2026-06-25,14.25
2026-06-26,14.09
2026-06-27,14.09
2026-06-28,14.09
2026-06-29,14.54
2026-06-30,14.84
2026-07-01,15.07
2026-07-02,15.34
2026-07-03,15.34
2026-07-04,15.34
2026-07-05,15.34
2026-07-06,16.2
2026-07-07,15.95
2026-07-08,16.04
2026-07-09,16.19
2026-07-10,16.11
2026-07-11,16.11
2026-07-12,16.11
2026-07-13,16.66
2026-07-14,16.38
2026-07-15,16.05
2026-07-16,15.81
2026-07-17,15.82
2026-07-18,15.82
2026-07-19,15.82
2026-07-20,15.24
2026-07-21,15.77
2026-07-22,15.64
2026-07-23,15.85
2026-07-24,15.71
2026-07-25,15.71
2026-07-26,15.71
2026-07-27,15.48
2026-07-28,15.76
2026-07-29,15.97
2026-07-30,16.7
2026-07-31,16.78
2026-08-01,16.78
2026-08-02,16.78
2026-08-03,17.44
2026-08-04,17.39
2026-08-05,17.46
2026-08-06,17.42
2026-08-07,17.2
2026-08-08,17.2
2026-08-09,17.2
2026-08-10,17.25
2026-08-11,17.24
2026-08-12,17.09
2026-08-13,17.36
2026-08-14,17.86
2026-08-15,17.86
2026-08-16,17.86
2026-08-17,17.5
2026-08-18,17.27
2026-08-19,17.51
2026-08-20,17.74
2026-08-21,18.44
2026-08-22,18.44
2026-08-23,18.44
2026-08-24,18.36
2026-08-25,18.83
2026-08-26,18.83
2026-08-27,18.52
2026-08-28,19.4
2026-08-29,19.4
2026-08-30,19.4
2026-08-31,19.34
2026-09-01,19.74
2026-09-02,20.72
2026-09-03,20.17
